Authority,Botanical Name,Common Name,Council District,Epithet,Genus,Park_Side_Street,Location,Park Name,Side,Site ID,Street,Address,Air Quality Benefits ($),CO2 Avoided (in lbs.),CO2 Sequestered (in lbs.),DBH,Energy Benefits ($),Greenhouse CO2 Benefits ($),kWh Saved,Latitude,Leaf Surface Area (in sq. ft.),Longitude,Pollutants Saved (in lbs.),Property Benefits ($),Site,Stormwater Benefits ($),Stormwater Gallons Saved,Therms Saved,Total Yearly Eco Benefits ($)
Olmsted,ULMUS CARPINIFOLIA,"ELM, SMOOTHLEAF",South,CARPINIFOLIA,ULMUS,South_In_Lot_Park Ave South,"(42.8278007466965, -78.8323489640525)",South,In_Lot,103768,Park Ave South,2441,31.38,746.81,774.49,34,147.78,4.7,261.55,42.82780075,248.47,-78.83234896,4.89,149.5,1,45.38,5672.82,78.93,378.74
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Lincoln Parkway_Median_Lincoln Pkwy,"(42.930446300229, -78.8739447362706)",Lincoln Parkway,Median,54880,Lincoln Pkwy,140,11.88,319.38,249.44,17,81.25,1.63,129.59,42.9304463,166.82,-78.87394474,1.98,100.38,1,15.27,1908.25,44.82,210.41
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.834196791, -78.8150256876)",Mckinley Parkway,Front,93825,Mckinley Pkwy,83,20.06,485.56,450.28,26,121.37,2.41,197.01,42.83419679,209.22,-78.81502569,3.19,125.89,1,28.1,3512.01,66.6,297.83
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Chapin Parkway_Front_Chapin Pkwy East,"(42.9212198462017, -78.8681456814541)",Chapin Parkway,Front,55313,Chapin Pkwy East,3,14.38,360.27,315.1,20,95.32,1.87,146.18,42.92121985,181.71,-78.86814568,2.34,109.33,1,19.24,2405.06,53.15,240.14
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Lincoln Parkway_Front_Lincoln Pkwy West Dr,"(42.9296959585828, -78.8740533318648)",Lincoln Parkway,Front,54903,Lincoln Pkwy West Dr,120,16.18,396.24,359.65,22,104.28,2.04,160.77,42.92969596,191.18,-78.87405333,2.61,115.03,1,22.07,2758.94,58.07,259.61
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Chapin Parkway_Median_Chapin Pkwy,"(42.9228412645753, -78.8702424703482)",Chapin Parkway,Median,55228,Chapin Pkwy,85,12.67,354.22,263.63,16,76.57,1.79,124.05,42.92284126,161.86,-78.87024247,2.14,97.39,1,15.38,1922.91,42.04,203.8
Olmsted,ULMUS JAPONICA X WILSONIANA 'MORTON',"ELM, ACCOLADE",Masten,JAPONICA,ULMUS,Scajaquada Expressway_Front_Humboldt Pkwy,"(42.9258661675, -78.8480252911)",Scajaquada Expressway,Front,35916,Humboldt Pkwy,289,4.37,113.97,97.03,8,29.93,0.64,39.92,42.92586617,122.32,-78.84802529,0.74,73.6,1,5.83,728.66,17.29,114.38
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Lincoln Parkway_Front_Lincoln Pkwy West Dr,"(42.9306062911643, -78.8740763357762)",Lincoln Parkway,Front,54877,Lincoln Pkwy West Dr,152,12.72,333.01,271.33,18,85.94,1.71,135.12,42.93060629,171.79,-78.87407634,2.1,103.36,1,16.59,2073.85,47.6,220.32
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Lincoln Parkway_Front_Lincoln Pkwy East Dr,"(42.9267551128304, -78.8734212997566)",Lincoln Parkway,Front,55024,Lincoln Pkwy East Dr,1,13.55,346.64,293.22,19,90.63,1.79,140.65,42.92675511,176.75,-78.8734213,2.22,106.35,1,17.92,2239.46,50.38,230.23
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8337663262, -78.8150526501)",Mckinley Parkway,Front,93832,Mckinley Pkwy,67,15.3,346.13,338.83,30,135.48,1.96,230.32,42.83376633,228.62,-78.81505265,2.37,137.56,1,25.78,3222.74,73.3,316.08
